,LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE,POST_DATE
97,https://www.sgcarmart.com/used_cars/info.php?ID=1249246&DL=4332&utm_content=SLeligible,Land,111800,22690,31-Aug-2017,109881,2017,1812,Auto,57648,26/01/2024,48918,60486,51000,1309,1999,1945,3,,22-Jan-2024
98,https://www.sgcarmart.com/used_cars/info.php?ID=1258876&DL=2080&utm_content=SLeligible,Audi,78800,13660,09-Nov-2009,162000,2009,1464,Auto,21628,26/01/2024,41849,41849,37502,2100,1798,1450,6,Sports Car,22-Jan-2024
99,https://www.sgcarmart.com/used_cars/info.php?ID=1251159&DL=1242&utm_content=SLeligible,Hyundai,169800,20150,30-Sep-2021,37000,2021,742,Auto,74991,26/01/2024,27174,30044,68310,2798,1598,1500,2,SUV,05-Jan-2024
100,https://www.sgcarmart.com/used_cars/info.php?ID=1219571&DL=2958&utm_content=SLeligible,Toyota,313888,29320,02-Aug-2023,68,2023,1792,Auto,143937,26/01/2024,51268,69410,120889,3471,2493,2210,1,,12-Dec-2023
101,https://www.sgcarmart.com/used_cars/info.php?ID=1263866&DL=3043,BMW,349800,35290,18-Feb-2022,24000,2021,2384,Auto,167241,26/01/2024,87995,130391,86102,2922,2998,2175,1,,15-Jan-2024
102,https://www.sgcarmart.com/used_cars/info.php?ID=1265233&DL=2689,BMW,119777,27040,31-Mar-2017,120000,2017,1210,Auto,61252,26/01/2024,53252,67854,54000,1159,1998,1540,1,Luxury Sedan,19-Jan-2024
103,https://www.sgcarmart.com/used_cars/info.php?ID=1265525&DL=4398,Subaru,57800,13440,23-Nov-2017,,2017,744,Auto,26312,26/01/2024,12759,12759,47112,1372,1600,1431,1,Mid-Sized Sedan,21-Jan-2024
104,https://www.sgcarmart.com/used_cars/info.php?ID=1224122&DL=1000&utm_content=SLeligible,Skoda,148888,16350,27-Oct-2022,21888,2021,684,Auto,94093,26/01/2024,24649,11509,108003,3190,1498,1461,2,,20-Jan-2024
105,https://www.sgcarmart.com/used_cars/info.php?ID=1260892&DL=2349,Lexus,175800,25500,06-Mar-2019,112000,2018,3100,Auto,85433,26/01/2024,66088,90959,33689,1862,3456,2090,2,SUV,04-Jan-2024
106,https://www.sgcarmart.com/used_cars/info.php?ID=1183238&DL=3175&utm_content=SLeligible,Maserati,150800,19250,25-Nov-2011,,2011,5632,Auto,52000,26/01/2024,102288,102288,66387,2834,4244,1880,5,Sports Car,16-Dec-2023
